what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1322531677622
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.3.v20111014-0100,"org.eclipse.mylyn.bugzilla.core",1322531677640
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1322531677658
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1322531677683
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1322531677683
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1322531677714
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1322531677722
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1322531677833
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1322531677855
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.3.v20111026-0100,"org.eclipse.mylyn.tasks.ui",1322531677909
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1322531677948
started,bundle,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse",1322531677981
os,sysinfo,,,"win32",1322531677987
arch,sysinfo,,,"x86",1322531677987
ws,sysinfo,,,"win32",1322531677987
locale,sysinfo,,,"no_NO",1322531677987
processors,sysinfo,,,"2",1322531677987
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1322531677987
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1322531677987
java.specification.name,sysinfo,,,"Java Platform API Specification",1322531677987
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322531677987
java.specification.version,sysinfo,,,"1.6",1322531677987
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1322531677987
java.version,sysinfo,,,"1.6.0_26",1322531677987
